Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CmpTotalp90,AttTotalp90,Cmp%Total,PassTotDistp90,PassPrgDistp90,CmpShortp90,AttShortp90,Cmp%Short,CmpMediump90,AttMediump90,Cmp%Medium,CmpLongp90,AttLongp90,Cmp%Long,Astp90,xAp90,A-xAp90,KPp90,PassIntoFinalThirdp90,PPAp90,CrsPAp90,ProgPassp90,Matches
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,42.0,54.0,77.8,672.0,254.0,0.00,0.00,,38.0,42.0,90.5,4.00,12.0,33.3,0.00,0.20,-0.20,4.00,8.00,2.00,0.00,10.0,Matches
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,40.6,51.2,79.4,750.3,174.6,0.35,1.24,28.6,31.9,37.1,85.9,8.41,12.8,65.5,0.27,0.18,0.09,1.59,4.42,0.80,0.00,6.02,Matches
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,23.4,32.4,72.3,703.6,393.8,0.21,0.41,50.0,11.0,11.1,99.1,12.2,20.8,58.4,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,Matches
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,14.3,24.8,57.9,186.1,38.3,0.00,0.43,0.0,13.9,20.9,66.7,0.43,3.48,12.5,0.00,0.00,0.00,0.00,1.30,0.00,0.00,1.30,Matches
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,35.3,48.2,73.2,617.7,306.8,0.55,2.44,22.4,29.2,35.6,82.0,5.57,10.2,54.6,0.00,0.09,-0.09,0.80,2.34,1.04,0.60,7.01,Matches
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,31.0,43.5,71.2,542.0,260.5,0.39,2.10,18.4,26.0,31.2,83.3,4.64,10.3,45.2,0.04,0.04,0.00,0.52,1.55,0.60,0.21,5.28,Matches
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,45.0,48.8,92.3,838.8,251.3,0.00,0.00,,37.5,41.3,90.9,7.50,7.50,100.0,0.00,0.13,-0.13,1.25,5.00,2.50,1.25,7.50,Matches
24,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,41.4,51.4,80.6,654.3,201.4,0.00,0.00,,37.1,45.7,81.3,4.29,5.71,75.0,0.00,0.14,-0.14,2.86,1.43,1.43,0.00,4.29,Matches
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,33.1,40.7,81.4,518.9,121.9,1.22,2.97,40.9,27.3,31.1,87.8,4.59,6.62,69.4,0.14,0.16,-0.03,1.49,2.70,0.68,0.00,2.30,Matches
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,45.9,54.0,85.1,1117.5,417.1,0.09,0.75,12.5,27.5,28.9,95.4,18.3,24.3,75.2,0.00,0.00,0.00,0.00,1.89,0.00,0.00,2.08,Matches
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,17.6,22.8,77.4,232.0,48.5,1.06,2.36,44.7,15.5,19.0,81.4,1.12,1.43,78.3,0.19,0.15,0.04,0.99,0.75,1.24,0.00,2.05,Matches
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,56.0,66.5,84.2,925.3,343.7,1.01,2.44,41.4,46.1,50.3,91.8,8.82,13.8,64.0,0.17,0.13,0.04,1.18,3.28,2.10,1.26,6.97,Matches
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,35.0,40.0,87.5,671.5,111.9,0.38,0.38,100.0,26.2,28.5,91.9,8.46,11.2,75.9,0.00,0.00,0.00,0.38,1.54,0.38,0.00,2.31,Matches
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,37.4,44.7,83.7,690.9,118.6,0.71,1.43,50.0,28.3,32.0,88.4,8.43,11.3,74.7,0.14,0.01,0.13,0.43,2.43,0.00,0.00,2.71,Matches
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,38.6,44.0,87.7,862.6,241.4,0.22,0.83,26.1,24.7,27.1,91.5,13.6,16.1,84.6,0.04,0.03,0.01,0.07,2.19,0.07,0.00,2.30,Matches
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,37.4,50.2,74.4,669.0,277.4,0.69,2.29,30.2,29.4,33.7,87.3,7.23,14.2,50.9,0.09,0.10,-0.01,0.91,2.42,0.91,0.48,5.76,Matches
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,59.7,68.7,86.9,1058.2,262.3,0.17,1.50,11.1,49.0,53.7,91.3,10.5,13.5,77.8,0.17,0.02,0.15,0.67,5.00,0.50,0.00,6.17,Matches
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,44.0,56.4,78.0,733.9,334.2,0.28,1.97,14.3,37.3,42.4,87.9,6.48,12.0,53.8,0.14,0.06,0.08,0.85,2.54,1.27,0.85,6.55,Matches
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,10.0,12.0,83.3,101.3,5.33,0.67,0.67,100.0,9.33,11.3,82.4,0.00,0.00,,0.00,0.07,-0.07,1.33,0.00,0.00,0.00,0.00,Matches
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,16.2,22.2,72.9,255.9,40.5,0.52,1.22,42.9,13.4,17.4,76.9,2.27,3.58,63.4,0.17,0.13,0.04,0.61,0.61,0.52,0.17,1.44,Matches
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,68.8,75.1,91.6,1436.6,466.8,0.31,0.97,32.0,48.2,50.7,95.1,20.2,23.3,86.5,0.04,0.03,0.01,0.12,4.01,0.08,0.00,3.39,Matches
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,22.7,26.4,86.2,376.4,61.8,0.91,0.91,100.0,18.2,20.9,87.0,3.64,4.55,80.0,0.00,0.00,0.00,0.00,0.91,0.91,0.00,1.82,Matches
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,37.5,42.6,88.1,779.9,252.5,0.32,0.72,45.0,26.1,28.3,92.1,11.1,13.5,81.9,0.07,0.02,0.05,0.14,2.41,0.36,0.00,2.19,Matches
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,28.7,34.3,83.5,450.5,135.2,1.00,1.83,54.5,24.3,27.7,88.0,3.33,4.83,69.0,0.17,0.20,-0.03,0.83,2.50,0.33,0.00,4.50,Matches
41,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,51.9,59.4,87.4,996.1,288.4,0.31,0.71,44.4,40.8,43.9,92.8,10.8,14.7,73.3,0.00,0.00,0.00,0.08,1.97,0.08,0.00,2.28,Matches
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,80.9,89.1,90.8,1695.2,558.8,0.72,1.33,54.1,56.6,59.9,94.5,23.6,27.9,84.6,0.04,0.08,-0.04,0.65,10.6,0.86,0.25,8.63,Matches
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,42.6,52.0,81.9,762.2,311.4,0.32,1.79,17.9,35.0,39.4,88.8,7.24,10.8,67.3,0.00,0.07,-0.07,0.83,3.08,0.83,0.38,7.24,Matches
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,17.5,23.7,73.7,257.9,28.8,1.31,2.46,53.1,13.5,17.8,76.2,2.62,3.46,75.6,0.08,0.16,-0.08,1.15,0.46,0.69,0.00,1.00,Matches
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,76.7,88.1,87.1,1243.3,391.4,1.44,3.54,40.7,65.8,71.7,91.8,9.42,12.9,73.2,0.21,0.14,0.07,1.15,5.19,1.56,0.74,7.28,Matches
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,51.8,65.4,79.2,965.3,341.7,1.16,2.54,45.5,39.7,45.0,88.2,10.9,17.8,61.3,0.43,0.31,0.12,3.12,7.37,2.80,0.14,10.9,Matches
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,45.0,52.3,86.0,1160.6,338.8,0.17,0.44,37.5,22.8,24.9,91.4,22.0,26.9,81.8,0.00,0.01,-0.01,0.14,2.67,0.14,0.03,2.28,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,35.8,52.9,67.7,644.5,254.7,0.63,3.33,18.8,28.2,34.4,82.1,6.98,15.2,45.9,0.31,0.20,0.11,1.88,3.23,2.08,0.94,6.77,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,17.6,22.3,78.7,250.0,36.1,0.58,1.36,42.9,15.1,17.8,85.2,1.84,3.20,57.6,0.10,0.16,-0.06,0.87,0.58,0.58,0.00,0.87,Matches
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,14.2,19.0,75.0,192.0,31.5,0.68,1.36,50.0,12.7,15.6,81.5,0.85,2.03,41.7,0.17,0.17,0.00,0.85,0.34,0.34,0.00,1.19,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,83.7,93.4,89.6,1754.6,445.0,1.52,2.59,58.8,58.5,63.4,92.3,23.7,27.4,86.3,0.00,0.05,-0.05,1.12,9.39,0.91,0.05,10.5,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,38.8,49.5,78.5,895.0,232.7,0.51,1.82,28.2,25.4,28.8,88.3,12.9,18.9,68.3,0.09,0.04,0.06,0.65,4.44,0.19,0.05,4.86,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,47.6,57.6,82.7,1133.9,296.4,0.30,0.79,38.5,29.4,31.6,93.1,17.9,25.2,71.0,0.06,0.03,0.03,0.33,3.98,0.52,0.03,2.71,Matches
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,42.7,54.9,77.8,704.6,302.7,0.66,1.64,40.0,35.9,42.1,85.3,6.20,11.2,55.2,0.05,0.06,-0.01,0.61,3.15,0.56,0.28,7.04,Matches
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,19.2,29.2,65.7,274.2,34.2,1.67,2.50,66.7,15.0,23.3,64.3,2.50,3.33,75.0,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,Matches
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,75.3,82.1,91.7,1417.4,311.1,1.58,3.16,50.0,55.8,57.4,97.2,17.9,21.6,82.9,0.00,0.00,0.00,0.00,9.47,0.53,0.00,7.37,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,40.6,47.4,85.6,796.6,151.1,0.61,1.95,31.3,28.3,32.3,87.5,11.7,13.2,88.9,0.00,0.02,-0.02,0.49,5.37,0.49,0.12,4.02,Matches
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,23.7,32.7,72.5,749.5,499.8,0.10,0.10,100.0,12.5,12.6,99.2,11.1,20.0,55.5,0.00,0.01,-0.01,0.20,0.10,0.00,0.00,0.00,Matches
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,63.9,89.2,71.6,1411.0,566.4,0.93,3.40,27.5,44.1,51.6,85.6,18.8,34.2,55.0,0.37,0.27,0.09,2.41,5.72,2.55,0.85,13.0,Matches
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,17.1,24.2,70.7,481.3,276.1,0.00,0.00,,7.74,7.74,100.0,9.35,16.5,56.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,19.7,26.8,73.2,287.9,41.2,0.75,1.84,40.6,16.8,21.8,76.8,2.13,3.16,67.3,0.06,0.08,-0.02,1.03,1.26,0.52,0.06,1.49,Matches
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,28.1,32.7,85.8,787.2,434.8,0.07,0.07,100.0,14.4,14.5,99.3,13.6,18.1,75.0,0.04,0.01,0.02,0.07,0.25,0.04,0.00,0.04,Matches
63,Allan\Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,50.6,58.4,86.6,942.5,227.9,1.13,2.54,44.4,38.3,41.7,91.9,11.1,14.2,78.6,0.07,0.08,-0.01,1.13,5.35,0.63,0.07,4.23,Matches
64,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,30.3,39.3,77.1,501.9,116.3,0.73,2.88,25.4,24.2,28.5,84.9,5.37,7.90,67.9,0.20,0.10,0.10,1.07,2.00,1.17,0.00,3.27,Matches
65,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,20.3,26.6,76.3,321.4,76.6,0.65,1.90,34.4,16.8,19.7,84.9,2.89,4.97,58.1,0.06,0.04,0.02,0.80,1.19,0.71,0.12,2.17,Matches
66,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,57.6,69.7,82.7,1019.9,312.0,0.75,2.39,31.6,47.5,53.5,88.9,9.31,13.8,67.3,0.13,0.13,0.00,1.64,2.14,1.82,0.88,7.23,Matches
67,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,32.7,46.8,69.8,646.3,240.5,0.26,1.70,15.4,24.2,29.2,82.8,8.24,15.9,51.9,0.07,0.02,0.05,0.59,2.03,0.78,0.33,5.36,Matches
68,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,25.4,33.6,75.4,525.9,135.4,0.24,0.71,33.3,18.0,21.8,82.3,7.17,11.1,64.5,0.00,0.02,-0.02,0.55,3.54,0.16,0.08,2.68,Matches
69,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,19.5,26.5,73.6,553.0,289.5,0.00,0.00,,11.0,11.0,100.0,8.50,15.5,54.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
70,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,36.8,45.0,81.9,836.7,270.4,0.35,0.77,45.8,23.0,25.5,90.2,13.4,18.7,72.0,0.00,0.02,-0.02,0.10,2.31,0.26,0.10,3.01,Matches
71,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,36.9,44.2,83.5,1040.7,342.8,0.24,0.57,41.2,16.9,19.1,88.2,19.8,24.5,80.9,0.00,0.02,-0.02,0.24,2.46,0.17,0.03,3.00,Matches
72,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,42.7,50.3,84.9,679.5,197.3,0.83,2.12,39.3,37.3,41.9,89.0,4.62,6.29,73.5,0.00,0.05,-0.05,0.98,2.50,1.21,0.15,4.85,Matches
73,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,36.9,43.0,85.9,757.1,213.1,0.24,0.71,33.3,26.1,29.0,89.8,10.6,13.2,80.2,0.00,0.00,0.00,0.12,1.67,0.12,0.00,1.31,Matches
74,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,26.9,34.0,79.1,449.3,91.3,0.47,1.40,33.3,22.3,26.2,85.3,4.07,6.40,63.6,0.00,0.00,0.00,0.12,1.98,0.12,0.12,1.74,Matches
75,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,37.2,47.4,78.5,755.1,222.5,0.64,1.70,37.5,26.3,30.5,86.4,10.3,15.3,67.2,0.05,0.05,0.01,0.43,4.41,0.69,0.05,4.95,Matches
76,Amath\Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,17.1,24.3,70.6,287.1,92.9,0.00,4.29,0.0,15.7,17.1,91.7,1.43,2.86,50.0,0.00,0.00,0.00,0.00,2.86,0.00,0.00,1.43,Matches
77,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,41.0,50.9,80.4,734.0,255.0,0.79,2.04,38.8,32.8,37.8,86.7,7.38,11.0,66.8,0.04,0.06,-0.02,0.58,1.92,0.67,0.33,4.63,Matches
78,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,23.0,31.6,72.5,412.0,123.3,0.49,1.80,27.3,18.2,22.8,79.9,4.26,7.05,60.5,0.00,0.08,-0.08,1.80,3.28,1.15,0.49,3.28,Matches
79,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,30.4,37.0,82.4,526.6,202.4,0.77,1.71,45.2,24.5,26.7,91.7,5.14,8.51,60.4,0.11,0.02,0.09,0.17,1.99,0.44,0.11,5.03,Matches
80,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,44.0,55.8,78.9,781.1,208.4,1.60,3.20,50.0,33.3,37.7,88.4,9.08,14.9,60.9,0.10,0.29,-0.19,2.62,3.54,1.12,0.29,6.80,Matches
81,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,82.2,86.7,94.9,1661.1,494.4,3.33,3.33,100.0,56.7,58.9,96.2,22.2,24.4,90.9,0.00,0.00,0.00,0.00,5.56,0.00,0.00,1.11,Matches
82,Opoku Ampomah\Opoku-Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,11.3,18.6,60.6,214.5,60.2,0.00,1.25,0.0,8.93,13.2,67.6,2.32,4.11,56.5,0.00,0.05,-0.05,1.43,1.07,0.54,0.00,2.32,Matches
83,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,47.1,53.6,87.7,975.8,194.3,0.77,1.36,56.8,32.7,36.4,89.9,13.5,15.9,85.4,0.03,0.05,-0.02,0.93,4.63,1.02,0.28,4.85,Matches
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,70.1,76.9,91.1,1645.1,418.6,0.29,0.53,55.6,43.1,45.8,94.2,26.7,30.6,87.1,0.00,0.01,-0.01,0.24,3.35,0.18,0.06,3.94,Matches
85,Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24,1995,1.9,30.5,35.8,85.3,528.9,108.4,1.05,1.58,66.7,24.2,27.9,86.8,5.26,6.32,83.3,0.00,0.00,0.00,0.00,0.00,0.53,0.53,0.53,Matches
86,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,43.7,56.3,77.6,725.6,211.0,1.27,3.80,33.3,35.9,43.4,82.8,6.51,9.10,71.5,0.24,0.17,0.07,1.57,2.89,1.99,0.36,5.66,Matches
87,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,16.6,26.7,62.3,225.5,47.8,0.81,1.91,42.1,14.6,22.2,65.7,1.24,2.58,48.1,0.03,0.05,-0.02,0.67,1.54,0.44,0.13,1.74,Matches
88,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,eng Premier League,26,1993,0.8,10.0,15.0,66.7,96.3,25.0,0.00,1.25,0.0,10.0,13.8,72.7,0.00,0.00,,0.00,0.00,0.00,1.25,0.00,0.00,0.00,1.25,Matches
89,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,43.0,54.3,79.2,758.7,183.1,1.23,2.98,41.2,33.2,39.5,83.9,8.64,11.8,73.0,0.04,0.05,-0.00,0.57,4.30,0.35,0.18,3.86,Matches
90,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,21.7,27.6,78.5,716.4,444.7,0.00,0.00,,8.98,8.98,100.0,12.7,18.6,68.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
91,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,30.0,42.1,71.2,545.8,190.1,0.98,2.17,45.2,22.8,29.1,78.3,6.19,10.8,57.3,0.07,0.07,-0.00,1.08,3.39,1.12,0.21,5.17,Matches
92,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,48.1,54.6,88.1,897.9,200.0,0.96,1.58,61.1,36.9,40.2,91.9,10.2,12.8,79.5,0.00,0.00,0.00,0.26,3.77,0.18,0.00,3.86,Matches
93,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,16.9,22.8,74.1,243.4,42.0,1.02,1.48,69.2,14.0,18.5,75.5,1.93,2.84,68.0,0.00,0.07,-0.07,0.91,1.02,0.34,0.00,1.59,Matches
